Time: 01/08/2022 09:40:55, temp: 40.0, cpu_fan: 0.0, status: start fan 
Time: 01/08/2022 09:41:26, temp: 40.0, cpu_fan: 0.0, status: start fan 
Time: 01/08/2022 09:41:30, temp: 40.0, cpu_fan: 0.0, status: start fan 
Time: 01/08/2022 09:56:35, temp: 40.0, cpu_fan: 0.0, status: start fan 
Time: 01/08/2022 10:20:36, temp: 46.0, cpu_fan: 3395.0, status: keep status 
Time: 01/08/2022 10:20:57, temp: 48.0, cpu_fan: 3395.0, status: keep status 
Time: 01/08/2022 10:23:09, temp: 61.0, cpu_fan: 3398.0, status: fan in max speed 
Time: 01/08/2022 10:24:06, temp: 52.0, cpu_fan: 7021.0, status: keep status 
Time: 01/08/2022 10:24:27, temp: 47.0, cpu_fan: 7034.0, status: keep status 
Time: 01/08/2022 10:25:42, temp: 63.0, cpu_fan: 7021.0, status: keep status 
Time: 01/08/2022 10:26:32, temp: 48.0, cpu_fan: 7009.0, status: keep status 
Time: 01/08/2022 10:28:14, temp: 47.0, cpu_fan: 3401.0, status: keep status 
Time: 01/08/2022 10:28:27, temp: 48.0, cpu_fan: 3386.0, status: keep status 
Time: 01/08/2022 10:29:29, temp: 56.0, cpu_fan: 3404.0, status: keep status 
Time: 01/08/2022 10:30:06, temp: 50.0, cpu_fan: 3401.0, status: keep status 
Time: 01/08/2022 10:31:18, temp: 50.0, cpu_fan: 3404.0, status: keep status 
Time: 01/08/2022 11:03:30, temp: 42.0, cpu_fan: 3398.0, status: keep status 
Time: 01/08/2022 11:05:12, temp: 38.0, cpu_fan: 3395.0, status: keep status 
